category_name,title,rating,price_inr
Historical Fiction,A Flight of Arrows (The Pathfinders #2),5,5858.42
Historical Fiction,Mrs. Houdini,5,3191.38
Historical Fiction,The Passion of Dolssa,5,2987.76
Historical Fiction,Voyager (Outlander #3),5,2222.89
Historical Fiction,The Red Tent,5,3762.13
Historical Fiction,Between Shades of Gray,5,2193.34
Historical Fiction,While You Were Mine,5,4359.26
Historical Fiction,A Spy's Devotion (The Regency Spies of London #1),5,1790.33
Historical Fiction,The Marriage of Opposites,4,2962.44
Historical Fiction,A Paris Apartment,4,4115.55
